,urn,title,authors,year
2367,URN:NBN:no-nb_digibok_2018020248027,Lesing pågår : B,"Solem , Hanne",2013
2318,URN:NBN:no-nb_digibok_2019080807123,Familien min,"Johnsen , Janne Aasebø",2013
3613,URN:NBN:no-nb_digibok_2013072408145,Kim er spent,"Klepp , Anneli",2013
2305,URN:NBN:no-nb_digibok_2020121507805,Damir får ein fugl,"Ersland , Bjørn Arild",2013
4060,URN:NBN:no-nb_digibok_2018060548162,Skriving pågår : A,"Gedde-Dahl , Trine / Øgreid , Anne Kristine",2013
3592,URN:NBN:no-nb_digibok_2018081407117,Godt lest : Lesebok,"Hanssen , Ellen",2013
2167,URN:NBN:no-nb_digibok_2018061307516,Fadderen min,"Johnsen , Janne Aasebø",2013
653,URN:NBN:no-nb_digibok_2020120806098,Salto : [1. trinn] Lærerens bok,"Fjeld , Siw Monica",2013
4257,URN:NBN:no-nb_digibok_2018082207054,Kanin og hare,"Ersland , Bjørn Arild",2013
658,URN:NBN:no-nb_digibok_2020110507646,ABC-toget : Blå 1,"Devold , Else H.",2013
2150,URN:NBN:no-nb_digibok_2019112807098,"Æsj, øh, å","Johnsen , Janne Aasebø",2013
4044,URN:NBN:no-nb_digibok_2018080148066,Lego,"Ersland , Bjørn Arild",2013
7,URN:NBN:no-nb_digibok_2020032507128,Dialog : vg1 norsk for yrkesfag,"Engelien , Ola / Eriksen , Harald / Badendyck , Anette / Hoen , Kari Anne",2013
1036,URN:NBN:no-nb_digibok_2020121507806,Ròte egg,"Ersland , Bjørn Arild",2013
2118,URN:NBN:no-nb_digibok_2019121007013,Salto : [1. trinn] Arbeidsbok A : store bokstaver,"Fjeld , Siw Monica",2013
2115,URN:NBN:no-nb_digibok_2020032507107,Kvar er Nurre?,"Johnsen , Janne Aasebø",2013
2114,URN:NBN:no-nb_digibok_2018092707058,Skriving pågår : B,"Gedde-Dahl , Trine / Øgreid , Anne Kristine",2013
4270,URN:NBN:no-nb_digibok_2018062805062,Salto : [1. trinn] Arbeidsbok A : lykkjeskrift,"Fjeld , Siw Monica",2013
3554,URN:NBN:no-nb_digibok_2013072408138,En farlig katt,"Ersland , Bjørn Arild",2013
1060,URN:NBN:no-nb_digibok_2013072408120,Ixi og Smule,"Sunne , Linn T.",2013
1068,URN:NBN:no-nb_digibok_2020011007068,Tuba luba. 1 : 4. klasse Oppgåvehefte,"Sporstøl , Ebba-Marie",2013
1070,URN:NBN:no-nb_digibok_2021072048581,Fabel : norsk for ungdomstrinnet : Lærebok,,2013
1073,URN:NBN:no-nb_digibok_2018071707130,Familien min,"Johnsen , Janne Aasebø",2013
2095,URN:NBN:no-nb_digibok_2018071607049,Lilla sil,"Andersen , Torill",2013
3611,URN:NBN:no-nb_digibok_2020121607552,Saga : Lesebok 8,"Jensen , Marit / Groseth , Johannes",2013
4789,URN:NBN:no-nb_digibok_2018061307528,"Kom, jul","Klepp , Anneli",2013
2084,URN:NBN:no-nb_digibok_2021011407566,Ordriket : Lesebok 3A,,2013
1097,URN:NBN:no-nb_digibok_2020011007071,Salto : [1. trinn] Arbeidsbok B : store og små bokstaver,"Fjeld , Siw Monica",2013
646,URN:NBN:no-nb_digibok_2018082207106,"Æsj, øh, å","Johnsen , Janne Aasebø",2013
698,URN:NBN:no-nb_digibok_2018070405010,Fabel : norsk for ungdomstrinnet : Lærerveiledning,,2013
62,URN:NBN:no-nb_digibok_2020120806159,Ordriket : Lærerveiledning 3,,2013
2933,URN:NBN:no-nb_digibok_2019072907032,Salto : [1. trinn] Elevbok : store og små bokstavar,"Fjeld , Siw Monica",2013
3632,URN:NBN:no-nb_digibok_2018082048085,Fingeren,"Ersland , Bjørn Arild",2013
1186,URN:NBN:no-nb_digibok_2019082007127,Huset mitt,"Johnsen , Janne Aasebø",2013
3369,URN:NBN:no-nb_digibok_2018061307525,Papirfly,"Granly , Astrid",2013
1957,URN:NBN:no-nb_digibok_2020031907034,Grammatikk og rettskriving,"Lien , Per / Groseth , Johannes",2013
4330,URN:NBN:no-nb_digibok_2019081207070,Det går bra! : for deg som lærer norsk på høyere nivå : nivå B2 : grunnbok,"Lønn , Cecilie",2013
710,URN:NBN:no-nb_digibok_2020120907533,Grammatikk og rettskriving,"Lien , Per / Groseth , Johannes",2013
